"Kategorie A";12;;;;;;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"ArcelorMittal";"Krnov";"Hodinovka";"TdS";"VP";"Zlín";"Continental";"TdJ";"MRSAC";"MRSAC"
"Beníèek";"Tomáš";"CK Continental Frenštát p. R. 2";20;15;17;19;30;30;44;25;25;15;1
"Body ";"Marcel";"Novatop Lapiere";0;0;0;39;35;"DNF";0;0;0;0;0
"Bollo";"Roman";"YOGI Racing Ostrava 1";0;0;34;37;0;0;0;55;48;0;0
"Boszczyk";"David";"Tøinec";0;0;0;0;0;0;0;0;21;0;0
"Byrtus ";"Ivo";"Sport Klapka";0;0;0;44;0;38;0;0;0;0;0
"Celta";"Tomáš";"CK Continental Frenštát p. R. 1";20;60;44;60;60;60;60;46;50;44;42
"Èervenı";"Lukáš";"Baník Karviná";0;20;0;24;0;0;0;30;28;0;0
"Domanskı";"Libor";;20;0;0;0;0;0;0;0;0;0;0
"Dominiak ";"Wojciech ";"KTUKOL G£UCHO£AZY ";0;0;15;0;0;0;0;0;0;0;0
"Dulava";"David";"Skvelakola.cz";20;0;0;0;0;0;0;0;0;0;0
"Foltın";"Jiøí";"CK Hobby Bohumín A ";20;38;23;40;37;33;0;34;34;20;0
"Gawalek";"Andrzej";"Rybnik";0;0;0;0;0;0;0;0;31;0;0
"Gierc";"David";;0;18;0;23;0;0;0;26;0;0;0
"Hajzler";"Marian";"SK ORBEA";20;0;60;0;0;0;0;0;0;0;0
"Harabiš";"Radim";"SK Valašského království";0;0;0;0;0;0;0;0;0;0;0
"Heinrich";"Lukáš";"Bikestyle.cz";20;0;50;0;55;0;0;0;0;0;0
"Hlawiczka";"Martin";"Skvelakola.cz";20;35;28;42;39;35;48;0;32;18;12
"Chamrád";"Jiøí";"CK Continental Frenštát p. R. 1";0;44;0;30;42;50;0;60;60;0;0
"Javorek";"Petr";"ACK Stará Ves n. Ondøejnicí";0;0;0;0;0;40;0;0;0;0;0
"Je";"Martin";"Èeskı Tìšín";0;0;0;0;0;0;0;0;20;0;0
"Jeek";"Petr";"CykloservisMB-Airoo";0;0;0;0;0;0;0;0;0;0;0
"Jirásek";"Josef";"YOGI Racing Ostrava 2";20;25;35;29;0;0;0;0;0;0;0
"Jureèka";"Roman";"CK Continental Frenštát p. R.";20;28;0;0;0;34;0;0;0;0;0
"Kainar";"Tomáš";"Nutrend Specialized";20;0;0;0;0;0;0;0;0;0;0
"Kantor";"Tomáš";"Tøinec";0;0;0;0;0;0;0;0;37;0;0
