Kategorie A;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Blahut;Radek;SK Cykloblahut Maxbike;0;23;0;39;35;37;34;0;0;37;42;0;46;0;0;0
Buchal;Ivo;Racing Olešná;0;0;0;0;36;0;39;0;0;0;44;0;0;0;0;0
Cienciala;Bronislav;TJ T Tøinec;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Èervenı;Lukáš;Cykloservis MB;0;25;37;0;32;0;38;39;44;38;49;46;48;44;0;0
Dohnal;Blahoš;Cyklistika pro všechny Krnov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fierla;Jan;CK Feso Petøvald;0;30;34;36;0;25;0;37;36;33;39;39;44;40;0;46
Galatík;Roman;CK Continental Frenštát p. R.  1;0;37;0;0;38;0;44;36;0;0;48;0;0;0;50;0
Galuška;Tomáš;FORCE KCK ZLÍN;60;55;60;60;46;60;60;42;50;46;60;48;60;60;36;60
Gierc;David;YOGI Racing Ostrava 2;0;19;26;0;30;0;32;33;32;0;0;0;39;0;31;0
Holona;Martin;COBRAM TEAM;0;0;0;35;40;0;0;0;0;0;0;0;0;0;0;0
Hrubı;Martin;SK Bagbike;46;44;46;42;39;36;37;0;39;35;50;41;55;46;32;50
Janota;Miroslav;CK Kolík Hobby Bohumín A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0
Kaiser;Zdenìk;KILPI RACING TEAM OSTRAVA ;0;38;29;0;21;27;0;32;33;0;0;31;0;38;0;0
Karásek;Jiøí;Racing Olešná;0;20;0;0;0;18;0;0;35;29;0;29;0;0;0;0
Kubala;Janusz;Cykloservis MB;0;27;42;0;0;34;42;38;0;0;43;0;0;0;0;0
Machotka;Karel;YOGI Racing Ostrava 1;0;0;0;0;55;0;55;0;0;0;65;0;0;0;46;0
Mitrenga;Petr;Skvìlá kola;55;35;55;0;44;48;48;50;60;42;52;54;0;0;48;44
Onderka;Milan;YOGI Racing Ostrava 1;0;31;36;44;42;42;50;0;0;0;0;0;0;0;0;0
Pecha;Martin;KILPI RACING TEAM OSTRAVA ;40;33;33;37;33;28;33;0;34;36;41;36;40;39;35;0
Pietrzyk;Vratislav;Skvìlá kola ;0;46;0;0;50;40;0;46;0;0;58;56;0;0;39;0
Podlesnı ;Petr;CK Orlík Orlová;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0
Pytel;Jaromír;SK Bagbike ;0;48;0;0;0;0;0;0;0;0;0;65;0;0;0;0
Sedláèek;Dan;IN-LIFE Cycling Team/Puskinak.cz;48;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0
Sedláø;Milan;FORCE KCK ZLÍN;42;0;0;0;0;22;0;35;37;0;0;0;0;0;0;0
Schnerch;Martin;Skvìlá kola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sieja;Jiøí;YOGI Racing Ostrava 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stanìk;Pavel;Cyklosport Pøikryl Stará Ves n. Ondøejnicí;39;22;31;0;0;0;0;0;0;32;0;33;0;0;0;0
Swaczyna;Patrik;CK Feso Petøvald;0;36;40;40;0;38;0;40;38;0;0;45;42;48;37;48
Zámeèník;Ivo;CC La´DRACO;0;29;39;0;0;0;35;0;0;34;0;35;50;0;0;0
;;;;;;;;;;;;;;;;;;
Kategorie D;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Baran;Petr;SK Bagbike ;48;0;50;0;48;0;46;46;50;50;54;56;42;48;50;0
Beneš;Petr;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;58;0;48;0;0;0
Boszczyk;Norbert;Skvìlá kola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daòhel;Mojmír;Cyklosport HF Opava-Bikestyle.cz;60;50;42;60;46;50;40;44;55;60;65;70;55;60;44;60
Holeš;Jiøí;CK Kolík Hobby Bohumín C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hrazdílek;Alois;CK Kolík Hobby Bohumín B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chmura;Petr;Team Forman Cinelli;46;0;36;0;0;27;35;37;37;37;42;50;37;39;37;40
Jakl;Jiøí;CK Kolík Hobby Bohumín A;42;38;30;0;33;25;28;35;27;30;41;38;0;0;0;35
Kaszuba;Miroslav;CZERNICA MASTERS;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
Koneènı ;Pavel;CK Kolík Hobby Bohumín A;0;46;46;0;0;46;0;48;0;0;0;0;0;0;0;0
Kontúr;Milan;MIKONT Frenštát;0;0;0;35;34;0;27;32;0;0;0;0;0;0;31;37
Kopøiva;Miroslav;CK Continental Frenštát p. R.  2;0;0;0;0;37;0;30;0;0;0;40;0;0;0;0;0
Krawczyk;Andrzej;CZERNICA MASTERS;0;36;0;40;0;28;0;0;29;31;0;40;0;40;0;0
Krchòák;Pavel;ACK Stará Ves nad Ondøejnicí;0;0;0;0;31;0;0;31;0;0;0;0;38;0;0;39
Lawicki;Dariusz;CZERNICA MASTERS;0;0;0;0;0;0;0;0;0;35;45;44;0;42;0;0
Lysek;Vladimír;CC La´DRACO;0;0;60;0;55;0;60;60;60;55;70;65;50;55;60;48
Majtner;Petr;Cykloservis MB;0;31;37;0;42;35;44;38;0;0;0;0;0;0;0;0
Míèek;Oldøich;2K-BIKE CLUB Odry;50;39;48;0;0;42;42;50;48;38;56;58;39;46;48;0
Motyka;Tomáš;KILPI RACING TEAM OSTRAVA ;44;42;31;38;0;32;32;0;31;39;50;0;40;0;35;46
Niemczyk;Jan;TJ T Tøinec;0;44;33;0;38;29;34;34;28;33;44;43;36;38;34;38
Nováèek;Pavel;Racing Olešná;0;0;32;0;0;30;0;0;33;28;0;42;0;0;0;0
Pelc;Ladislav;FORCE KCK ZLÍN;55;60;55;55;0;60;48;39;39;48;60;0;60;50;0;55
Praski;Henryk;CK Kolík Hobby Bohumín B;0;0;0;0;35;0;29;0;0;32;0;39;0;0;33;0
Rumiñski;Stanislaw;CZERNICA MASTERS;0;40;28;36;0;0;0;0;0;0;0;0;0;0;0;0
Rupa;Miroslav;SK Jiøí team Ostrava;0;34;29;48;36;0;33;0;0;0;0;0;0;0;0;0
Rychta;Daniel;Cyklistika pro všechny Krnov;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0
Satinskı;Alexandr;YOGI Racing Ostrava 1;0;0;39;44;39;0;36;0;44;0;48;52;0;0;46;0
Schichel;Tomáš;YOGI Racing Ostrava 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Šimoòák;Marek;ACK Stará Ves nad Ondøejnicí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Škarka;Jiøí;CK Kolík Hobby Bohumín C;0;0;0;0;0;0;0;0;0;0;39;0;34;0;0;0
Švan;Miroslav;ACS DRAK VRBNO;0;32;25;0;30;0;25;30;23;0;38;36;35;0;29;34
Vyoral;Lubomír;CK Kolík Hobby Bohumín C;0;0;0;0;0;0;24;29;24;27;0;35;0;0;28;0
Wawrzynkiewicz;Edward;CZERNICA MASTERS;0;48;44;37;0;0;0;0;42;44;0;0;0;0;0;0
Wilhelm;Jaroslav;CK Kolík Hobby Bohumín A;0;33;38;0;40;34;38;42;34;36;43;47;0;0;40;0
Zvoníèek;Radomír;FORCE KCK ZLÍN;0;55;40;42;0;40;39;36;30;0;46;0;44;44;0;42
;;;;;;;;;;;;;;;;;;
