"Kategorie A";11;;;;;;;;;;;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"ArcelorMittal";"Krnov";"Hodinovka";"TdS";"VP";"Zlín";"Continental";"TdJ";"MRSAC";"MRSAC";"GPF";"Stonava";"VCL";"M60";"Paskov"
"Fierla";"Ondøej";"TEAM FORMAN CINELLI";0;48;36;0;0;0;55;0;0;0;0;38;0;30;55;38
"Franer";"Juraj";"Nova Top - Lappier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0
"Furczyk";"Maciej";"UKS „Sokol“ Kety";0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0
"Galatík";"Roman";"CK Continental Frenštát p. R. 1";20;46;0;60;55;60;48;46;0;50;44;65;65;40;0;42
"Grepl";"Radim";"CK Hobby Bohumín B";0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;23
"Gruchala";"Vojtìch";"Triatlon klub Ostrava";20;28;6;29;31;36;35;32;0;31;0;29;38;0;0;27
"Haitl ";"František";"Galaxy Team Hranice";0;0;0;0;0;0;0;0;0;0;0;35;0;38;0;0
"Haluza";"Martin";"CK PeMaP Pøerov ";0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0
"Hamáèek";"Jaroslav";"ACS DRAK VRBNO";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Haman";"Martin";"MILKA-Superior";20;0;0;0;0;0;0;0;0;0;0;60;0;60;0;0
"HAMPL";"Petr";"Favorit Brno";0;0;48;0;60;0;0;0;0;0;0;0;0;0;48;0
"HAMSA";"Martin";"Superior riders";0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0
"Helebrandt";"Pavel";"BSS OPAVA";20;0;19;0;0;0;0;0;0;0;0;0;0;0;28;0
"Hradil";"Jiøí ";"Force KCK Zlín ";0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0
"HUDEÈEK";"Petr";"Team Forman Cinelli";0;0;35;0;0;0;0;0;0;0;0;40;0;42;60;36
"Jablonski";"Marcin";;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Janda";"Jan";"CK PeMaP Pøerov ";0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0
"Janiczek";"Roman";"TJ T Tøinec";0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0
"Janošek";"Tomáš";"ACK Stará Ves nad Ondøejnicí";0;42;0;0;0;0;0;0;0;0;0;0;0;31;0;0
"JANOUŠEK";"Jiøí";"KC Brno";0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jalùvka";"Petr";"SK Jiøí Team";0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0
"Kachlíø ";"Marcel";"Focus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
"Kalita";"Tomáš";"YOGI Racing Ostrava 3";0;33;20;32;0;0;0;0;0;0;0;0;46;0;0;29
"Kasperek";"Michal";"UKS „Sokol“ Kety";0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0
"Klíma";"Jirka";"CK Pøerov";0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kloda";"Petr";"Novatop-Lapierre";0;0;0;0;30;0;0;0;0;0;0;0;30;0;0;0
"Klos";"Viktor";"Sk JIØÍ TEAM";0;0;0;0;0;55;0;0;0;0;0;0;0;0;36;0
"Kobliha";"Ondøej";"Madeta Fitness- Specialized";0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0
"Kocián";"Daniel";"Viessman";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
"Kocián";"Tomáš";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0
"Kohoutek";"Martin";"Kopøivnice";0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0
"Kokošek";"Oldøich";"Novatop-Lapierre";20;0;18;0;36;0;0;0;0;0;0;0;0;0;0;0
"Košák";"Lukáš";"Racing Olešná";0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kozák";"Pavel";"Cyklokramo Suchdol n. O. 2";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"KOUŠNÍK";"Adam";"Team Forman Cinelli";0;0;39;0;0;0;0;0;0;0;0;37;0;48;40;40
"KUBÁNEK";"Martin";"Lowell pro Šafrata Bohumín";0;0;15;33;0;0;0;0;0;0;0;0;0;33;31;0
