"Kráèmar";"Petr";"TJ Kolík Bohumín 1";0;0
"Lach";"Alan";"Racing Olešná";0;0
"Lysek";"Vladimír";"CK Continental Frenštát p. R. 1";0;55
"Michal";"Robert";"CykloservisMB-Airoo";0;0
"Rupa";"Miroslav";"YOGI Racing Ostrava 2";0;39
"Satinskı";"Alexandr";"YOGI Racing Ostrava 1";20;44
"Schichel ";"Tomáš";"YOGI Racing Ostrava 3";0;0
"Sokol";"Pavel";"Cyklokramo Suchdol n. O. 1";0;35
"Šimeèek";"Radim";"Midar Pøíbor";20;34
"Škarka";"Jiøí";"CK Hobby Bohumín A ";20;33
"Tihlaøík";"Stanislav";"Cyklistika pro všechny Krnov";0;0
"Viteèek";"Petr";"TJ Kolík Bohumín 2";0;0
"Vodièka ";"Štìpán";"Cyklosport Pøikryl Stará Ves n. O.";0;30
"Wenzel";"Roman";"Max Cursor";20;40
"Widenka";"Aleš";"TJ Kolík Bohumín 1";0;0
"Wilhelm";"Jaroslav";"TJ Kolík Bohumín 1";20;0
"ebrák";"Radim";"TJ Kolík Bohumín 2";0;0
"Bartek";"Dušan";"Racing Olešná";0;29
"Guziur ";"Dalibor";"Racing Olešná";0;32
"Marek";"Miroslav";"Scott-Bicykle";20;0
"Piechaczek";;;0;50
"Strapek";"Jan";"Jeseník";20;0
"Šnajder";"Roman";"Racing Olešná";0;38
"Zahrádka";"Tomáš";"ZHOR Team";20;0
;;;;
"Kategorie D";12;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. ArcelorMittal"
"Adamèík";"Miroslav";"Cyklokramo Suchdol n. O. 1";20;50
"Baier";"Jan";"TJ Kolík Bohumín 1";0;0
"Baran";"Petr";"SK Bagbike";0;55
"Hinner";"Jiøí";"ACK Stará Ves n. Ondøejnicí";20;31
"Hlavatík";"Ladislav";"Racing Olešná";0;48
"Holeš";"Jiøí";"CK Hobby Bohumín A ";20;28
"Chmura";"Petr";"Team Forman Cinelli";20;35
"Knytl";"Vojtìch";"Cyklokramo Suchdol n. O. 1";0;0
"Kontúr";"Milan";"SK Valašského království";0;32
"Kopøiva";"Miroslav";"CK Continental Frenštát p. R. 2";20;38
"Krawczyk";"Andrzej";"Dobre sklepy rowerowe Autor";20;0
"Krchòák ";"Pavel";"ACK Stará Ves n. Ondøejnicí";20;40
"Lawicki";"Dariusz";"Czernica Masters";0;0
"Lepka";"Václav";"YOGI Racing Ostrava 3";20;25
"Maleòák";"Richard";;0;42
"Musil ";"Oldøich";"alltraining.cz";0;0
"Niedermajer";"Václav";"SK Bagbike";0;23
"Pastušek ";"Vlastimír";"SK Maxbike Orlová";0;27
"Pavlík ";"Petr";"Racing Olešná";0;33
