Adamèík;Miroslav;_Cyklokramo Suchdol nad Odrou;0;42;0;0
Baèík;Pavel;_2K-BIKE CLUB Odry;0;0;0;0
Baran;Petr;_SK Bagbike Rubing;0;0;0;0
Beneš;Petr;_YOGI Racing Ostrava 1;0;0;0;0
Boszczyk;Norbert;_Skvìlá kola;0;0;0;0
Daòhel;Mojmír;_Cyklistika pro všechny Krnov;0;50;39;38
Franta;Roman;_Racing Olešná;0;0;0;0
Holeš;Jiøí;"_CK Kolík Hobby Bohumín ""B""";0;0;0;0
Hrazdílek;Alois;_CK Kolík Hobby Bohumín „A“;0;30;28;0
Chmura;Petr;_Team Forman Cinelli;35;34;0;0
Jakl;Jiøí;;30;33;32;0
Kaszuba;Miroslav;"_CK Kolík Hobby Bohumín ""A""";0;0;34;0
Koneènı;Pavel;"_CK Kolík Hobby Bohumín ""A""";46;40;42;42
Kontúr;Milan;MIKONT Frenštát pod Radhoštìm;29;37;36;0
Kopøiva;Miroslav;_CK Continental Frenštát p.R.  1;28;0;25;0
Krawczyk;Andrzej;_CZERNICA MASTERS;33;0;50;0
Krchòák;Pavel;_ACK Stará Ves nad Ondøejnicí;0;0;0;0
Lajèok;Jiøí;"_CK Kolík Hobby Bohumín ""B""";0;0;0;0
Lawicki;Dariusz;_CZERNICA MASTERS;0;0;38;16
Lysek;Vladimír;_CK Continental Frenštát p.R.  1;0;46;35;0
Míèek;Oldøich;_2K-BIKE CLUB Odry;38;35;0;0
Motyka;Tomáš;_KILPI RACING TEAM OSTRAVA;0;44;24;14
Mück;Arnošt;_2K-BIKE CLUB Odry;0;0;0;0
Niemczyk;Jan;_TJ T Tøinec;0;31;0;0
Nováèek;Pavel;_Racing Olešná;0;0;0;0
Novák;Milan;_YOGI Racing Ostrava 1;48;0;37;0
