Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
Odvárka;Ivo;FORCE KCK ZLÍN;50;42;40;60;42;60;65;60;60;55;70;60;70;56;58;55;33;55;55;50;48;60
Galuška;Tomáš;FORCE KCK ZLÍN;40;46;42;25;36;40;58;40;44;0;50;46;61;45;37;40;50;38;60;60;60;48
Machotka;Karel;YOGI Racing Ostrava 1;48;0;0;0;55;48;70;0;0;0;60;0;0;54;42;60;40;60;0;0;55;0
Fryc;Bohdan;KILPI RACING TEAM OSTRAVA;38;0;26;0;31;29;48;42;48;48;47;40;59;0;0;37;38;0;0;37;31;26
Onderka;Milan;YOGI Racing Ostrava 1;44;0;32;0;37;38;52;44;0;0;49;0;0;0;0;39;37;40;48;48;32;44
Kubala;Janusz;Cykloservis MB;0;36;0;0;39;0;54;46;50;50;0;0;63;0;0;50;39;0;0;46;40;50
Blahut;Radek;SK MAXBIKE;0;0;60;0;30;42;44;37;0;38;0;0;0;0;0;34;48;39;39;40;42;0
Fierla;Jan;CK Feso Petøvald;27;31;23;0;0;28;0;38;42;39;39;38;55;0;0;0;32;30;38;38;34;0
Kaiser;Zdenìk;KILPI RACING TEAM OSTRAVA;0;38;37;0;23;25;0;33;0;37;45;38;52;0;0;0;31;33;37;39;35;0
Schnerch;Martin;Skvìlá kola;30;40;36;0;29;32;46;34;0;0;0;37;54;0;0;30;28;29;0;36;36;0
Hrubı;Martin;SK Bagbike Rubing;33;44;44;0;35;0;47;0;0;0;46;42;34;0;0;0;36;37;42;0;0;0
Klášterka;Tomáš;CK Continental Frenštát p.R.  1;60;60;50;0;0;55;0;55;55;60;0;0;0;0;0;0;0;0;0;0;0;0
Pietrzyk;Vratislav;Skvìlá kola;0;0;48;0;46;0;60;50;0;0;65;0;75;0;0;48;0;0;0;0;0;0
Swaczyna;Patrik;CK Feso Petøvald;0;33;38;0;0;0;0;48;0;0;58;55;35;0;0;0;0;0;46;33;37;46
Gierc;David;;0;0;27;0;26;0;39;32;36;31;38;36;50;0;0;29;0;31;0;0;0;0
Zámeèník;Ivo;CK Continental Frenštát p.R.  1;31;0;33;0;0;37;0;0;0;0;48;50;57;0;28;0;0;0;44;0;33;0
Beníèek;Tomáš;CK Continental Frenštát p.R.  2;0;0;19;0;17;0;35;31;30;28;36;34;0;0;0;24;0;0;0;32;28;0
Pytel;Jaromír;SK Bagbike Rubing;55;50;0;0;0;0;56;0;0;0;0;48;0;0;0;36;0;0;0;55;0;0
Wilhelm;Jaroslav;"CK Kolík Hobby Bohumín ""A""";0;0;0;0;0;0;41;36;37;34;37;0;49;0;0;31;0;0;0;0;0;0
Cienciala;Bronislav;TJ T Tøinec;0;0;0;0;20;0;43;35;0;35;0;0;0;0;0;32;0;0;35;0;30;0
Jaroš;Martin;Racing Olešná;0;0;0;0;32;0;45;0;0;44;44;0;53;0;0;0;0;0;0;0;0;0
Karásek;Jiøí;Racing Olešná;0;0;34;0;22;26;37;0;;33;40;0;0;0;0;0;0;0;0;0;0;0
Koláèek;Petr;CK Feso Petøvald;0;0;0;0;0;0;0;0;0;0;43;0;42;0;0;0;30;35;0;0;39;0
Kokeš;Pavel;SK Valašské království;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;55;34;50;0;0;0
Majtner;Petr;Skvìlá kola;0;0;0;0;24;0;49;39;0;36;0;0;0;0;0;35;0;0;0;0;0;0
Šváb;Miroslav;CYCLING BRNO;0;0;0;0;60;0;0;0;0;0;0;0;0;70;52;0;0;0;0;0;0;0
Janczura;Piotr;DAR BUD TEAM;0;39;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;44;0
Sedláø;Milan;CYKLOTEAM ZLÍN;0;37;0;0;0;0;0;0;39;0;56;0;0;0;0;0;0;0;36;0;0;0
Švan;Miroslav;ACS DRAK VRBNO;0;0;0;0;0;0;0;0;0;0;0;35;43;0;0;23;0;32;32;0;0;0
