Kategorie A;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
PilËÌk;Adam;Novatop Lapierre;0;0;0;0;0;0;0;0;48;0;0;0
POHANKA;Libor;CK Brno;37;0;0;0;0;0;0;0;0;0;0;0
Przieliorz;Pawel;"CK KolÌk Hobby BohumÌn ""A""";0;0;0;0;0;30;0;0;28;0;0;0
PÿICHYSTAL;Luk·ö;PM Bike éidlochovice;44;0;0;0;0;0;0;0;0;0;0;0
RABL;Martin;BagBike ;22;0;0;0;0;0;0;0;0;0;0;0
RESS;Tom·ö;Bike Galery;33;0;0;0;0;0;0;0;0;0;0;0
Scheibinger;Ji¯Ì;TÏrlice;0;0;0;0;0;0;0;0;0;0;0;30
Schvarz;Ond¯ej;PUR Frenöt·t;0;0;0;0;0;0;0;0;0;0;27;0
Sekanina;Petr;LOKO KROV;0;0;0;0;0;46;0;0;0;0;0;0
SlavÌk;Ji¯Ì;FORCE KCK CYKLOTEAM ZLÕN;0;50;0;39;0;48;55;0;33;0;42;40
Sleziak;Lukasz;Korbomania;0;0;0;0;0;31;0;0;0;0;0;0
StanÏk;Pavel;Cyklosport P¯ikryl Star· Ves n. Ond¯ejnicÌ;0;0;0;0;0;0;0;0;0;0;0;0
StraË·nek;Petr;CBASE BRNO;23;0;0;0;0;0;0;0;0;0;0;0
Svoboda;Jan;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0;0
SWACZYNA;Petr;CK Feso Pet¯vald;48;60;0;60;42;55;0;0;55;60;0;60
Szenderski;Marcin;Niezrzeszony;0;0;0;0;0;37;0;0;0;0;0;0
äenke¯Ìk;Jan;FORCE KCK CYKLOTEAM ZLÕN;0;0;0;42;0;0;0;0;42;50;0;46
äimon;VÌtÏzslav;Loko Krnov;25;0;0;0;0;0;0;0;0;0;0;0
ämÌd;Robert;CYCLING BRNO BAGBIKE;0;0;0;0;0;0;0;0;0;0;0;0
äv·b;Miroslav;CYCLING BRNO BAGBIKE;0;0;0;0;60;0;0;60;0;0;0;0
äVEC;LudÏk;RD R˝ma¯ov;21;0;0;0;0;0;0;0;0;0;0;0
TeslÌk;Petr;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0;38
Tkadlec;Josef;;0;0;0;0;0;0;0;0;30;0;0;0
Traciak;Arkadiusz;(POL) KS LUBO— SKOMIELNA BIA£A;0;0;0;0;0;0;0;0;40;0;0;0
UCHYTIL;Martin;UherskÈ HradiötÏ;34;42;0;0;0;39;0;0;32;0;36;35
UvÌra;V·clav;CK OrlÌk Orlov·;0;0;0;0;0;0;0;0;0;0;0;0
VAäÕ»EK;Pavel;CykloRacing Olomouc;42;0;0;0;0;0;0;0;0;0;0;0
Vr·bel;David;SK MAXBIKE Ostrava;0;0;0;0;30;29;0;30;0;0;0;0
VYCHODIL;Tom·ö;CykloKoalice ZlatÈ Hory a PÌseËn·;31;0;0;0;0;0;0;0;0;0;0;0
Wrzyna;Rafal;Jafisport bike team;0;0;0;0;0;0;0;50;0;0;0;42
Wyszynsky;Daruiusz;;0;0;0;0;0;0;0;0;0;0;28;0
Zajac;Aleksander;Bike Atelier Team;0;0;0;0;0;0;0;0;35;0;0;0
;;;;;;;;;;;;;;
Kategorie C;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
Ad·mek;Luk·ö;CK Feso Pet¯vald;44;0;0;48;0;50;0;44;40;50;50;55
Anderko;Karol;Jafisport bike team;0;0;0;0;0;0;0;37;0;0;0;0
Binar;Petr;éDB;0;0;0;0;30;0;0;0;0;0;0;0
Blahut;Radek;SK MAXBIKE Ostrava;31;50;0;0;37;42;31;39;46;39;44;39
Boszczyk;Norbert;"SkvÏl· kola-TJ Té T¯inec ""A""";0;0;0;0;0;0;25;32;31;44;46;42
Buchal;Ivo;"Racing Oleön· ""A""";0;0;0;0;44;0;0;33;0;0;0;0
»erm·k;Jan;CYCLING BRNO BAGBIKE;0;0;0;0;0;0;0;0;0;0;0;0
»ernota;Kamil;Hup na kolo;0;0;0;0;0;44;0;0;0;0;0;0
»ern˝;VladimÌr;;0;0;0;0;0;0;0;20;0;0;0;0
»erven˝;Luk·ö;Cykloservis MB;0;40;0;0;36;0;0;38;32;40;42;40
Dohnal;Blahoslav;Cyklistika pro vöechny Krnov;0;0;0;0;0;0;0;25;0;36;35;0
Fierla;Jan;CK Feso Pet¯vald;27;32;0;0;29;31;0;0;28;0;38;36
Franta;Roman;"Racing Oleön· ""A""";0;0;0;0;0;0;0;0;29;0;0;0
Galuöka;Tom·ö;CK Continental Frenöt·t p.R.  1;0;48;0;46;46;0;48;40;48;42;40;44
Gierc;David;;0;0;0;0;27;0;0;23;22;0;0;0
Giraczka;Martin;Lowell Pro äafrata Team BohumÌn;0;0;0;0;0;0;0;0;0;0;0;0
Gorlich;Petr;SK Bag Bike;0;0;0;0;0;0;0;0;25;0;0;0
Guziur;Dalibor;Racing Oleön·;0;0;0;0;0;0;0;29;0;0;31;0
Holiö;Martin;»esk· spo¯itelna;0;0;0;0;0;0;0;0;34;0;0;0
Holub;Tom·ö;Cyklokramo Suchdol nad Odrou;0;0;0;0;0;0;0;0;0;0;0;0
