Kategorie A;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
Maták;Andrej;Cykloklub Kysuce A;0;0;0;0;35;0;0;35;0;34;0
Martinák;Tomáš;SKVK;0;0;0;0;0;0;0;0;34;0;0
Mitrenga;Petr;"Skvìlá kola-TJ T Tøinec ""A""";35;46;0;35;36;42;35;44;44;42;44
Moravèík;Petr;Continental;0;0;0;0;0;0;0;0;0;0;26
Motyka;Patrik;A Bike Club Ostrava;0;0;0;0;28;44;0;34;26;0;35
Novotnı;Jiøí;Team Forman Cinelli;20;34;0;0;0;0;0;0;0;0;0
Nowok;Michal;Jafisport bike team;0;0;0;0;0;0;0;31;0;0;0
Petøík;Zdenìk;Cyklistika pro všechny Krnov;39;0;0;0;0;0;0;0;0;0;39
Pietrzyk;Vratislav;"Skvìlá kola-TJ T Tøinec ""A""";0;0;0;0;50;0;0;48;0;0;0
Pilèík;Adam;Novatop Lapierre;0;0;0;0;0;0;0;0;48;0;0
POHANKA;Libor;CK Brno;37;0;0;0;0;0;0;0;0;0;0
Przieliorz;Pawel;"CK Kolík Hobby Bohumín ""A""";0;0;0;0;0;30;0;0;28;0;0
PØICHYSTAL;Lukáš;PM Bike idlochovice;44;0;0;0;0;0;0;0;0;0;0
RABL;Martin;BagBike ;22;0;0;0;0;0;0;0;0;0;0
RESS;Tomáš;Bike Galery;33;0;0;0;0;0;0;0;0;0;0
Schvarz;Ondøej;PUR Frenštát;0;0;0;0;0;0;0;0;0;0;27
Sekanina;Petr;LOKO KROV;0;0;0;0;0;46;0;0;0;0;0
Slavík;Jiøí;FORCE KCK CYKLOTEAM ZLÍN;0;50;0;39;0;48;55;0;33;0;42
Sleziak;Lukasz;Korbomania;0;0;0;0;0;31;0;0;0;0;0
Stanìk;Pavel;Cyklosport Pøikryl Stará Ves n. Ondøejnicí;0;0;0;0;0;0;0;0;0;0;0
Straèánek;Petr;CBASE BRNO;23;0;0;0;0;0;0;0;0;0;0
Svoboda;Jan;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0
SWACZYNA;Petr;CK Feso Petøvald;48;60;0;60;42;55;0;0;55;60;0
Szenderski;Marcin;Niezrzeszony;0;0;0;0;0;37;0;0;0;0;0
