"Musiol";"Jakub";"YOGI Racing Ostrava 2";0;0
"NASET";"Jan";"In Life Cycling Team";24;0
"Nepraš";"Karel";"ACK Stará Ves nad Ondøejnicí";0;0
"NEPRAŠ";"Karel";"ACK Stará Ves nad Ondøejnicí";50;39
"NEVÍDAL";"Ondøej";"Bohuòovice";40;0
"PARMA";"Krzysztof";"SANBank";0;17
"Pavlík";"Petr";"Racing Olešná ""A""";0;0
"Pavlík";"Jan";"Racing Olešná ""A""";0;22
"PAWLAK";"Grzegorz";"Author Pszczyna";0;55
"Pešek ";"Radim";"A Bike Club Ostrava ""B""";0;0
"PLUNDRÁK";"David";"Cyklo TJ Píseèná";33;0
"Poláèek";"Michal";"A Bike Club Ostrava ""B""";0;0
"Polášek";"Adam";"A Bike Club Ostrava ""B""";0;0
"PRUCIAK";"Rafal";;23;0
"Reichel";"Sebastian";"Cyklistika pro všechny Krnov";0;0
"ROHEL";"Bøetislav_ml";"Bikestyle.cz";0;42
"SALAMON";"Marek";"CK Feso Petøvald";0;13
"SEDLÁÈEK";"Marek";"SK Jiøí team Ostrava";0;38
"SWACZYNA";"Petr";"CK Feso Petøvald";35;12
"Szlauer";"David";"Skvìlá kola-TJ T Tøinec  ""B""";21;8
"Škoda";"Kristián";"CK Continental Frenštát p.R.  1";28;37
"TOMAN Jiøí";"A(19-29)";"Forman Cinelli";0;14
"VAŠÁK";"Vít";"SK Jiøí Team Ostrava";19;0
"Veleckı";"Tomáš";"YOGI Racing Ostrava 1";0;0
"WALA";"Jan";"LMGKK Zemia Brzeska";48;0
"WIDAWSKI";"Pawel";;29;0
"Willmann";"Filip";"A Bike Club Ostrava ""A""";26;10
"Záruba";"Petr";"ACK Stará Ves nad Ondøejnicí";42;31
"Záruba";"Pavel";"ACK Stará Ves nad Ondøejnicí";38;26
"eravík";"Vojtìch";;0;0
;;;;
"Kategorie B";14;;;
"pøíjmení";"jméno";"klub";"Trispol";"MJF"
"Adámek";"Lukáš";"CK Feso Petøvald";38;38
"ADÁMEK";"Jan ";"Olomouc";36;0
"Androsz";"Michal";"CK Kolík Hobby Bohumín""B""";"DNF";36
