"Kategorie A";14;;;;;;;;;;;;;;;;;;;;;;;;
"p¯ÌjmenÌ";"jmÈno";"klub";"Trispol";"MJF";"KrnKrit";"Ston»D";"Krnov";"TdS";"ArcMit";"Bahenec";"C.C.";"TdJ";"MAD";"SPAC";"MRSAC";"MRSAC";"GPF";"Stonava";"ML60";"MJV";"StVes";"Paskov";"BÏl·";"VCL";"Td»"
"Szlauer";"David";"SkvÏl· kola-TJ Té T¯inec  ""B""";21;8;0;0;3;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0
"STOSZ ";"Patryk";"TC Chrobry GlogÛw";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
"Wolf";"Jan";"Bohemia cycling";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0
"äkuta ";"Vlastimil";"CK KolÌk Hobby BohumÌn""B""";0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;28;0;0;0;"DNF";0;0
"JEGIER ";"Mateusz";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0
"PARMA";"Krzysztof";"SANBank";0;17;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0
"BARTKIEWICZ ";"Andrzej";"LMGKK ZIEMIA BRZESKA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55
"MÕ»EK";"Ond¯ej";"Forman Cinelli";0;16;39;0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Nipl ";"VojtÏch";"Stevens Znojmo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0
"WIDAWSKI";"Pawel";;29;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"JAROMIN ";"Piotr";"Wibatech Fuji éory";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
"MLYN¡ÿ ";"zdenÏk";"Bohemia cycling tream";0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Alickun";"Eduard";"Mikesz Team";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;"DNF";0;0;"DNF";0;0;0
"GRYGERA ";"Jan";"Corys team";0;0;0;0;15;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Barbo¯·k";"AntonÌn";"Team Forman Cinelli";0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"GRZEGORZ ";"Pawlak";;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KraËalÌk";"Tom·ö";"tandem - nevidom˝";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0
"NASET";"Jan";"In Life Cycling Team";24;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HYNEK ";"Matouö";"Mapei cyklo KaÚkovsk˝";0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0
"Pilcik";"Adam";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0
"ROHEL";"B¯etislav_ml";"Bikestyle.cz";0;42;0;0;0;0;0;0;0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0
"ämedek";"Josef";"SILVINI CYCLING TEAM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0
"Pol·Ëek";"Michal";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0
"PREJDA ";"V·clav";"SK Ji¯Ì Team Ostrava";0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0
"MAJ ";"Rafal";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
"NEVÕDAL";"Ond¯ej";"BohuÚovice";40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DiblÌk";"Jan";"Racing Oleön· ""A""";0;15;0;0;5;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Domagala";"Patryk";"Grupa kolarska Gliwice";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0
"Broû";"MatÏj";"Superior";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0
"HORT";"Ji¯Ì";;0;24;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Both ";"Martin";;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KLUKOSZOWSKI ";"Piotr";"Grupa Kolarska Gliwice Bike";0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hekele";"Emil";"Stevens Bike - Emilio Sport";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0
"KUCEWICZ ";"Michal";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0
"FIOLKA ";"Marcin";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0
"Hradil";"Michal";"FORCE KCK CYKLOTEAM ZLÕN";0;33;0;0;0;0;0;0;0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0
"Kozik";"Kacper";"Grupa kolarska Gliwice";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0
"PLUNDR¡K";"David";"Cyklo TJ PÌseËn·";33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSTRYSZ ";"Szymon";"Fiolka Trens";0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0
"PAPULA ";"Luk·ö";"TJ UniËov";0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Janoöek";"Tom·ö";"ACK Star· Ves nad Ond¯ejnicÌ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0
"GUCIEBA";"Karol";;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KOCI¡N ";"Daniel";"HUP NA KOLO. CZ";0;0;0;0;13;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"GRZEMPA";"Jan";"TC Orzel Rabka Zdroj";0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kras";"Dariusz";"Dar-Bud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0
"Koci·n";"Tom·ö";"Lhota u Opavy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0
"»ERN› ";"Josef";"CCC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"MaloöÌk";"Jan";"CK OrlÌk Orlov·";0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kubica ";"Jozef";"Polsko Markowice";0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HÿIV“ACK›";"Marek";"Quint bike";0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PRUCIAK";"Rafal";;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"JAVŸREK ";"Martin";"AMENITY-EXTREM SPORT TEAM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0
"WOLDZINSKI ";"Szymon";"UKS Sokol Kety";0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0
"PL¡äEK ";"Tom·ö";"All Training";0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0
"SAS ";"Kryötof";"Mountaintime.cz";0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KALITA ";"Tom·ö";"Mike Bike";0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KOKEä ";"Michael";"Ghost";0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mandryzs";"Marek";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0
"Toman";"Ji¯Ì";"Forman Cinelli";0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kubica ";"Piotr";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0
"SALAMON";"Marek";"CK Feso Pet¯vald";0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kubica ";"Roman";"SK Ji¯Ì Team Ostrava";0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FIERLA ";"Jan";"CK Feso Pet¯vald";0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DNF";0
"VAVRE»KA ";"Ji¯Ì";"Quint bike";0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VYBÕRAL ";"Luk·ö";"Siln˝ Team UniËov";0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VL»EK ";"Pavel";"IN-LIFE Cycling team";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
